Country,Technology,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Ethiopia,Solar,0,0,0,0,0,0,0,0.001,0.001,0.028,0.028,0.335,1.148,3.344,9.131,9.89,14.04,12.494,12.346,12.346,20.184,21.184
Ethiopia,Wind,0,0,0,0,0,0,0,0,0,0,0,81,81,171,171,324,324.006,324.006,324.006,324.006,324.006,324.006
Gabon,Solar,0,0,0.1,0.1,0.1,0.1,0.2,0.2,0.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
Gabon,Wind,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gambia,Solar,0,0.012,0.068,0.209,0.393,0.646,0.728,1.169,1.409,1.626,1.777,1.859,1.991,2.026,2.106,2.166,2.176,2.178,2.178,2.178,2.178,2.178
Gambia,Wind,0,0,0,0,0,0,0,0,0,0.15,0.15,0.15,1.05,1.05,1.214,1.214,1.214,1.214,1.214,1.214,1.214,1.214
Ghana,Solar,0,0,0,0,0,0,0,0,0,0,0,0,0,3.49,5.726,31.385,37.875,47.143,78.054,84.88,107.852,107.852
Ghana,Wind,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0.02,0.02,0.02,0.02,0.02
Guinea,Solar,0,0,0,0,0,0,0,0,0,0.6,0.6,0.6,0.62,3.411,3.411,13.313,13.319,13.319,13.363,13.363,13.363,13.363
Guinea,Wind,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Guinea Bissau,Solar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.312,0.312,0.312,1.169,1.169,1.169,1.169
Guinea Bissau,Wind,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Kenya,Solar,0,0,0,0,0,0.002,0.002,0.009,0.164,0.185,0.196,1.42,3.389,7.247,16.14,30.173,31.332,38.479,104.743,105.743,105.827,146.749
Kenya,Wind,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,5.65,5.65,5.65,5.65,5.85,26.1,26.1,26.21,336.1,336.1,336.1,436.1
Lesotho,Solar,0,0,0,0,0,0,0,0,0,0,0,0,0,0.363,0.363,0.363,0.363,0.363,0.363,0.363,0.363,0.363
Lesotho,Wind,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Liberia,Solar,0,0,0,0,0,0,0,0,0,0,0.005,0.005,0.04,0.04,0.04,0.057,0.059,2.406,2.583,2.583,2.583,2.583
Liberia,Wind,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Libya,Solar,0,0,0,0.2,0.7,1.2,1.7,2.2,2.7,3.2,3.7,4.2,4.9,4.9,4.9,4.9,4.9,5.11,5.11,5.11,5.111,6.333
Libya,Wind,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Madagascar,Solar,0,0.007,0.007,0.007,0.1,0.1,0.3,0.4,0.8,1.1,1.5,2,2.6,5,7,9,11,13,33,33,33,33
Madagascar,Wind,0,0,0,0,0,0,0,0.015,0.015,0.095,0.172,0.177,0.177,0.177,0.177,0.177,0.177,0.177,0.177,0.177,0.177,0.177
Malawi,Solar,0,0,0,0,0,0,0.065,0.239,0.262,0.492,0.726,1.755,2.681,5.395,7.664,12.087,12.087,19.167,25.759,80.188,81.5,141.5
Malawi,Wind,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Mali,Solar,0.087,0.258,0.438,0.828,1.394,1.711,2.504,3.405,3.922,3.922,6.449,9.857,15.741,15.741,16.15,17.178,17.571,19.252,19.252,19.297,69.542,99.542
Mali,Wind,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Mauritania,Solar,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18.151,18.166,34.766,34.766,86.846,87.509,87.509,87.509
Mauritania,Wind,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4,4.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4
Mauritius,Solar,0,0,0,0,0,0,0,0,0,0,0,0,1.42,2.46,18.21,18.68,27.29,28.84,67.49,83.49,83.49,83.49
Mauritius,Wind,0,0,0,0,0.2,0.2,0.2,0.2,0.2,0.7,1.3,1.3,1.29,1.28,1.28,1.28,10.65,10.63,10.63,10.63,10.63,10.63
Mayotte,Solar,0,0,0,0,0,0,0,0,0.512,1.809,8.344,12.443,13.067,13.137,13.234,13.234,13.326,15.146,15.146,15.146,18,18
Mayotte,Wind,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Morocco,Solar,6.7,7,7.7,8.4,9.1,10,10.8,11.945,12.845,13.445,33.545,34.174,35.174,35.174,39.6,199.8,201.87,203.895,733.895,733.903,734,774.3
Morocco,Wind,54,54,54,54,54,54,54,114,114,221,221,255,255,495,797,797,897,1023,1225,1225,1405,1435
Mozambique,Solar,0,0,0,0,0,0,0,0,0,0,0,0.5,1.5,4.9,7,10,13,15,55,55,55,55
Mozambique,Wind,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Namibia,Solar,0.97,1.15,1.5,1.56,1.58,1.59,1.88,2.44,2.98,3.64,4.21,7.35,11.072,14.589,16.465,20.965,35.965,74.765,92.518,144.958,144.958,144.958
Namibia,Wind,0,0,0,0,0,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.222,0.222,0.222,0.222,0.222,5.231,5.231,5.231,5.231,5.231
Niger,Solar,0.5,0.6,0.6,0.7,0.8,1,1.1,1.1,1.2,1.2,2.1,3,4,5,6,7,8,9.041,27.041,27.041,27.041,27.041
Niger,Wind,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Nigeria,Solar,0,0,0,0,0,0,0,0,0,0,0,0,15.2,15.4,15.6,17,18.4,18.92,19.085,27.959,28.428,32.665
Nigeria,Wind,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Reunion,Solar,0,0,0,0,0.263,0.526,3,5.8,10,42.5,89.3,131.1,153,156,167,186.6,186.4,187.8,190,191.34,205.34,217.34
Reunion,Wind,0,0,0,0,6.6,10.45,13.475,14.83,14.83,14.83,14.83,14.83,14.83,14.83,14.83,14.83,16.5,16.5,16.5,16.5,16.5,16.5
Rwanda,Solar,0,0,0,0,0,0,0,0.25,0.256,0.256,0.256,0.312,0.469,0.948,10.241,14.217,19.441,27.5,37.83,38.338,38.338,38.338
Rwanda,Wind,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Saint Helena,Solar,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Saint Helena,Wind,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Sao Tome Prn,Solar,0,0,0,0,0,0,0,0,0,0,0,0,0,0.063,0.098,0.119,0.157,0.316,0.334,0.334,0.334,0.334
Sao Tome Prn,Wind,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Senegal,Solar,1,1.14,1.28,1.42,1.56,1.7,1.84,2,2.26,2.57,3.29,4.79,5.9,7,9,9,42,107,148,171,171,237.5
Senegal,Wind,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.2,158.7,158.7
Seychelles,Solar,0,0,0,0,0,0,0,0,0,0,0,0,0,0.278,0.959,1.414,1.946,2.644,3.698,3.698,3.788,8.688
Seychelles,Wind,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,6,6,6
