Cayman Islands,CYM,..,..,72777.14849,73514.66868,74990.43322,76284.19393,78471.62873,81513.16302,86059.73922,91392.64259,85082.52686,..
Central African Republic,CAF,513.3041877,251.2072914,565.8012071,380.2979111,424.4491317,377.4229177,402.1916451,450.9006579,475.9538139,467.9080323,492.7958712,..
Chad,TCD,291.5533573,166.1757089,967.3529488,979.8117426,1020.287979,776.0197523,693.4497674,665.9488849,726.1510071,709.5400432,659.270045,..
Channel Islands,CHI,..,43382.82685,..,..,..,..,..,..,..,..,..,..
Chile,CHL,2494.526796,5074.902616,15351.54074,15842.93648,14670.98891,13574.16924,13753.59215,14998.81706,15888.14436,14741.7144,13231.70421,..
China,CHN,317.884673,959.3724836,6300.615118,7020.338485,7636.116601,8016.431435,8094.363367,8816.986905,9905.342004,10143.83817,10434.77519,..
Colombia,COL,1445.32863,2520.481089,8050.255372,8218.347844,8114.343921,6175.87603,5870.777957,6376.706716,6729.583332,6424.979492,5334.556042,..
Comoros,COM,1043.790659,647.4258118,1403.360252,1505.337292,1513.830379,1242.585608,1273.050952,1323.814843,1428.290463,1401.542312,1420.661747,..
"Congo, Dem. Rep.",COD,270.1305434,405.2162186,424.6003738,457.9637475,486.7870951,497.3170391,471.3188225,467.0742317,560.8073582,580.7168706,543.9503925,..
"Congo, Rep.",COG,1187.549772,1032.137542,3923.093509,3883.746848,3776.485568,2447.539308,2050.993415,2169.991504,2606.615331,2369.729494,1846.131297,..
Costa Rica,CRI,1831.000151,3789.053886,10075.00462,10744.09102,10847.16967,11642.77805,12011.22275,12225.57449,12485.4239,12693.82796,12140.85415,..
Cote d'Ivoire,CIV,905.3220195,1007.46739,1684.781586,1935.946845,2156.645883,1972.545683,2013.381448,2111.026557,2314.050958,2276.332394,2325.723705,..
Croatia,HRV,..,4887.713716,13401.65662,13837.73164,13762.37286,11933.37738,12527.73986,13629.28959,15227.5601,15311.7669,14132.48656,..
Cuba,CUB,2703.168294,2747.100303,6497.314764,6837.71168,7133.337679,7694.014637,8060.796598,8541.213686,8824.194008,9125.878679,9477.852873,..
Curacao,CUW,..,..,20587.39736,20462.71795,20258.00969,19951.3279,19555.36585,19457.53152,19630.89349,19701.27038,16752.96526,..
Cyprus,CYP,9641.575273,14388.34806,28912.15694,27729.1927,27163.33297,23408.33668,24605.92083,26608.87509,29334.11093,29206.07672,27527.84531,..
Czech Republic,CZE,3941.503094,6029.038193,19870.80121,20133.16914,19890.91991,17829.69832,18575.23203,20636.19995,23419.73561,23660.14881,22933.49959,..
Denmark,DNK,26891.44645,30743.54768,58507.50805,61191.1937,62548.98473,53254.85637,54663.99837,57610.09818,61591.92887,59775.7351,61063.31643,..
Djibouti,DJI,766.1474429,768.1835703,1559.240651,2312.720948,2464.294905,2658.949245,2802.166204,2914.358197,3141.861711,3414.916178,3425.484176,..
Dominica,DMA,2860.322479,4787.801441,6849.455933,7016.380071,7317.486143,7597.288894,8080.968623,7274.517731,7687.462963,8516.280039,7003.859021,..
Dominican Republic,DOM,991.6148411,2869.178139,6110.366576,6238.132367,6608.825501,6921.520594,7280.88361,7609.353275,8050.644076,8282.117131,7268.19691,..
Ecuador,ECU,1489.529946,1445.279324,5682.046108,6056.331213,6377.093929,6124.490887,6060.092962,6213.503127,6295.934662,6222.524653,5600.389615,..
"Egypt, Arab Rep.",EGY,765.6420055,1450.476242,3229.68563,3262.657586,3379.557986,3562.932658,3519.87324,2444.290387,2537.125185,3019.092283,3569.206841,..
El Salvador,SLV,914.1317947,2001.540049,3428.409332,3509.526536,3589.042885,3705.579704,3805.995686,3910.254403,4052.624775,4167.730939,3798.636521,..
Equatorial Guinea,GNQ,267.4680729,1725.557584,21711.15159,20390.73727,19394.08066,11283.39805,9250.316493,9667.857801,10005.61679,8419.933336,7143.238705,..
Eritrea,ERI,..,308.1341868,..,..,..,..,..,..,..,..,..,..
Estonia,EST,..,4070.609024,17403.20533,19056.00192,20261.06673,17402.03761,18295.34293,20437.76538,23063.56382,23397.87826,23054.35849,..
Eswatini,SWZ,1355.389001,1728.710498,4527.565039,4230.171266,4039.159341,3680.349473,3425.531957,3914.418484,4105.893683,3915.643467,3424.282212,..
Ethiopia,ETH,254.2432622,124.4607909,467.0778718,499.5315302,566.9264029,640.5419231,717.1248698,768.5230154,771.5248663,855.7608852,936.3404611,..
Faroe Islands,FRO,..,22651.86198,49459.71723,54843.31929,59433.83457,52400.29728,56854.10265,59993.09063,62918.14619,64225.2649,..,..
Fiji,FJI,1835.123058,2069.317455,4591.577015,4840.72727,5605.609148,5390.714207,5651.272721,6101.02389,6317.41372,6175.890653,5057.631913,..
Finland,FIN,28364.64508,24345.91482,47708.06128,49892.22336,50327.24029,42801.90812,43814.02651,46412.13648,49988.91085,48628.64176,48755.35501,..
France,FRA,21793.83554,22419.69482,40872.36246,42605.04438,43068.54872,36652.92231,37062.53357,38781.04949,41592.7959,40578.64429,39037.12263,..
French Polynesia,PYF,15913.51087,14324.11866,..,..,..,..,..,..,..,..,..,..
Gabon,GAB,6268.918008,4135.99238,9813.505747,9683.58162,9663.42411,7384.700704,6984.419712,7230.434912,7959.007267,7766.996554,6881.715192,..
"Gambia, The",GMB,331.8177403,594.1493885,742.7776286,700.5160422,607.4299047,660.7235712,690.7804932,679.7550717,732.7207273,772.0459142,773.0020701,..
Georgia,GEO,1614.640122,749.9085236,4421.818242,4623.745725,4739.188338,4014.185944,4062.169888,4357.000936,4722.787783,4697.983652,4256.701186,..
Germany,DEU,22303.96133,23694.76048,43855.85447,46298.92292,48023.86998,41103.25644,42136.12079,44652.58917,47973.60762,46794.89929,46252.6893,..
Ghana,GHA,398.6370811,258.4710399,1587.560932,2361.090324,2012.264247,1774.074771,1971.956935,2074.290733,2260.860567,2246.625578,2205.529016,..
Gibraltar,GIB,..,..,..,..,..,..,..,..,..,..,..,..
Greece,GRC,9600.185235,12072.92936,21912.99829,21787.78776,21616.71001,18083.87791,17923.96681,18582.08934,19756.99046,19133.75776,17647.23269,..
Greenland,GRL,18326.80512,19004.10729,45936.76595,47535.58995,50484.92757,44536.40131,48181.87419,50766.59942,54270.82231,53041.30331,..,..
Grenada,GRD,2886.998204,5056.977259,7444.089075,7789.632355,8370.040472,9096.538652,9628.259169,10152.83281,10466.88221,10827.43529,9261.551876,..
Guam,GUM,..,..,32908.30677,33656.45357,34843.20557,35829.25036,36214.00692,36601.91988,36556.67491,38040.58699,34624.34013,..
Guatemala,GTM,845.3069621,1664.298958,3355.036919,3522.773706,3779.642336,3994.636913,4173.301666,4454.04815,4478.424646,4638.634943,4603.339617,..
Guinea,GIN,419.8098708,363.4822793,717.0505359,769.0031667,787.2385644,769.2554754,732.2915119,855.5752706,955.1112811,1058.143368,1194.037865,..
Guinea-Bissau,GNB,250.149442,308.9103184,616.375664,634.6620391,623.3130914,603.3993815,661.4578387,738.5499449,802.7673851,749.453747,727.5201717,..
Guyana,GUY,533.5383588,954.4003181,5378.810878,5489.140726,5407.147366,5576.825852,5811.397924,6124.95367,6145.819277,6609.51128,6955.939217,..
Haiti,HTI,439.944188,805.0256325,1337.335946,1432.837618,1435.13647,1386.854191,1290.380508,1369.063734,1479.345827,1312.770636,1272.367992,..
Honduras,HND,993.4832532,1080.510472,2129.521439,2088.097206,2190.653139,2286.203037,2326.297278,2436.671636,2492.868968,2556.456891,2389.012431,..
"Hong Kong SAR, China",HKG,13485.54489,25756.66378,36730.8767,38403.77771,40315.28556,42431.88828,43731.10682,46165.85651,48542.68187,48354.47337,46323.86344,..
Hungary,HUN,..,4624.281657,12989.18028,13719.95054,14298.83367,12720.71202,13107.37791,14623.69665,16427.37276,16735.65978,15980.10823,..
Iceland,ISL,25384.91475,32096.37226,45995.54788,49804.983,54576.74481,52951.68151,61987.92636,72010.14903,74469.80406,68941.46223,59264.03409,..
India,IND,367.5566089,443.3141938,1443.882435,1449.610451,1573.885642,1605.605445,1732.554242,1980.66702,1996.915087,2100.751461,1927.707823,..
Indonesia,IDN,585.0765629,780.1902047,3694.35934,3623.927241,3491.637491,3331.695115,3562.816334,3837.578024,3893.859578,4135.201531,3869.588427,..
"Iran, Islamic Rep.",IRN,2214.327688,1670.009674,7927.844908,6018.3229,5585.525604,4904.327315,5253.42656,5520.314782,3598.483454,3114.622753,2422.480657,..
Iraq,IRQ,10356.90305,2058.264401,6836.073995,7076.552265,6637.684375,4688.318017,4550.658638,4985.452879,5915.850854,5980.626918,4145.862936,..
Ireland,IRL,14031.30257,26334.56721,49026.02307,51533.03457,55599.8508,62012.48493,62861.63912,69774.02897,79107.60499,80886.61574,85422.54287,..
Isle of Man,IMN,..,20322.68202,79148.33225,83357.13268,92334.64631,85126.97047,82197.12677,83477.83429,89112.66772,86481.55259,..,..
Israel,ISR,..,21061.48228,32667.60687,36499.45611,37847.64994,35808.43643,37330.2618,40774.12961,42063.45313,43951.24773,44177.57122,..
Italy,ITA,20825.78422,20137.59122,35051.52127,35560.08141,35565.72138,30242.38614,30960.73151,32406.72032,34622.16967,33641.63375,31769.96587,..
Jamaica,JAM,1897.690884,3392.123878,5209.859264,4989.734089,4834.284009,4907.927415,4843.7499,5070.099503,5359.993789,5369.498371,4664.530242,..
Japan,JPN,25371.46417,39169.35957,49145.28043,40898.6479,38475.39525,34960.63938,39400.73936,38891.08627,39808.16856,40777.6087,40193.25244,..
