"Population, total",SP.POP.TOTL,Channel Islands,CHI,140677,148439,162051,163039,164107,165387,166922,168666,170496,172264,173859,..
"Population, total",SP.POP.TOTL,Chile,CHL,13274617,15342350,17400359,17571511,17758969,17969356,18209072,18470435,18729166,18952035,19116209,..
"Population, total",SP.POP.TOTL,China,CHN,1135185000,1262645000,1354190000,1363240000,1371860000,1379860000,1387790000,1396215000,1402760000,1407745000,1410929362,..
"Population, total",SP.POP.TOTL,Colombia,COL,33102569,39629965,46075721,46495492,46967706,47520667,48175048,48909844,49661056,50339443,50882884,..
"Population, total",SP.POP.TOTL,Comoros,COM,411598,542358,723865,741511,759390,777435,795597,813890,832322,850891,869595,..
"Population, total",SP.POP.TOTL,"Congo, Dem. Rep.",COD,34612023,47105830,69020749,71358804,73767445,76244532,78789130,81398765,84068092,86790568,89561404,..
"Population, total",SP.POP.TOTL,"Congo, Rep.",COG,2356740,3127420,4510197,4622757,4736965,4856093,4980996,5110701,5244363,5380504,5518092,..
"Population, total",SP.POP.TOTL,Costa Rica,CRI,3119436,3962369,4688003,4742111,4795390,4847805,4899336,4949955,4999443,5047561,5094114,..
"Population, total",SP.POP.TOTL,Cote d'Ivoire,CIV,11924873,16454660,21547188,22087506,22647672,23226148,23822726,24437475,25069226,25716554,26378275,..
"Population, total",SP.POP.TOTL,Croatia,HRV,4777368,4468302,4267558,4255689,4238389,4203604,4174349,4124531,4087843,4065253,4047680,..
"Population, total",SP.POP.TOTL,Cuba,CUB,10596986,11126423,11257112,11282722,11306909,11324777,11335108,11339255,11338146,11333484,11326616,..
"Population, total",SP.POP.TOTL,Curacao,CUW,145400,133860,152088,153822,155909,157980,159664,160175,159336,157441,154947,..
"Population, total",SP.POP.TOTL,Cyprus,CYP,766616,943288,1135046,1143866,1152297,1160987,1170189,1179685,1189262,1198574,1207361,..
"Population, total",SP.POP.TOTL,Czech Republic,CZE,10333355,10255063,10510785,10514272,10525347,10546059,10566332,10594438,10629928,10671870,10697858,..
"Population, total",SP.POP.TOTL,Denmark,DNK,5140939,5339616,5591572,5614932,5643475,5683483,5728010,5764980,5793636,5814422,5831404,..
"Population, total",SP.POP.TOTL,Djibouti,DJI,590393,717577,868136,883296,898707,913998,929117,944100,958923,973557,988002,..
"Population, total",SP.POP.TOTL,Dominica,DMA,70422,69650,70954,71019,71091,71175,71307,71460,71626,71808,71991,..
"Population, total",SP.POP.TOTL,Dominican Republic,DOM,7133491,8471317,9930916,10048226,10165182,10281675,10397738,10513111,10627147,10738957,10847904,..
"Population, total",SP.POP.TOTL,Ecuador,ECU,10230931,12681123,15474099,15707473,15951832,16212022,16491116,16785356,17084359,17373657,17643060,..
"Population, total",SP.POP.TOTL,"Egypt, Arab Rep.",EGY,56134478,68831561,86422240,88404652,90424668,92442549,94447071,96442590,98423602,100388076,102334403,..
"Population, total",SP.POP.TOTL,El Salvador,SLV,5270074,5887930,6237922,6266076,6295124,6325121,6356137,6388124,6420740,6453550,6486201,..
"Population, total",SP.POP.TOTL,Equatorial Guinea,GNQ,419188,606180,1031191,1076412,1122273,1168575,1215181,1262008,1308966,1355982,1402985,..
"Population, total",SP.POP.TOTL,Eritrea,ERI,2258649,2292413,..,..,..,..,..,..,..,..,..,..
"Population, total",SP.POP.TOTL,Estonia,EST,1569174,1396985,1322696,1317997,1314545,1315407,1315790,1317384,1321977,1326855,1329479,..
"Population, total",SP.POP.TOTL,Eswatini,SWZ,822423,1005432,1079285,1086843,1095022,1104038,1113994,1124808,1136274,1148133,1160164,..
"Population, total",SP.POP.TOTL,Ethiopia,ETH,47887864,66224809,92726982,95385793,98094264,100835453,103603461,106399926,109224410,112078727,114963583,..
"Population, total",SP.POP.TOTL,Faroe Islands,FRO,47276,46738,47843,47901,47965,48055,48173,48326,48497,48677,48865,..
"Population, total",SP.POP.TOTL,Fiji,FJI,728575,811011,865065,865602,866447,868632,872406,877460,883490,889955,896444,..
"Population, total",SP.POP.TOTL,Finland,FIN,4986431,5176209,5413971,5438972,5461512,5479531,5495303,5508214,5515525,5521606,5529543,..
"Population, total",SP.POP.TOTL,France,FRA,58235716,60912500,65659814,65998685,66312067,66548272,66724104,66918020,67101930,67248926,67379908,..
"Population, total",SP.POP.TOTL,French Polynesia,PYF,199906,240681,268995,270332,271713,273119,274576,276108,277673,279285,280904,..
"Population, total",SP.POP.TOTL,Gabon,GAB,949493,1228359,1749677,1817070,1883801,1947690,2007882,2064812,2119275,2172578,2225728,..
"Population, total",SP.POP.TOTL,"Gambia, The",GMB,955595,1317708,1905020,1963708,2024037,2085860,2149134,2213900,2280092,2347696,2416664,..
"Population, total",SP.POP.TOTL,Georgia,GEO,4802000,4077131,3728874,3717668,3719414,3725276,3727505,3728004,3726549,3720161,3722716,..
"Population, total",SP.POP.TOTL,Germany,DEU,79433029,82211508,80425823,80645605,80982500,81686611,82348669,82657002,82905782,83092962,83160871,..
"Population, total",SP.POP.TOTL,Ghana,GHA,14773274,19278850,25996454,26607641,27224480,27849203,28481947,29121464,29767108,30417858,31072945,..
"Population, total",SP.POP.TOTL,Gibraltar,GIB,29149,31081,33653,33694,33726,33742,33738,33723,33715,33706,33691,..
"Population, total",SP.POP.TOTL,Greece,GRC,10196792,10805808,11045011,10965211,10892413,10820883,10775971,10754679,10732882,10721582,10700556,..
"Population, total",SP.POP.TOTL,Greenland,GRL,55600,56200,56810,56483,56295,56114,56186,56171,56023,56225,56367,..
"Population, total",SP.POP.TOTL,Grenada,GRD,96328,102837,107452,108172,108900,109603,110263,110874,111449,112002,112519,..
"Population, total",SP.POP.TOTL,Guam,GUM,130480,155323,159990,160415,161007,161851,162948,164281,165770,167295,168783,..
"Population, total",SP.POP.TOTL,Guatemala,GTM,9050115,11589761,14781942,15043981,15306316,15567419,15827690,16087418,16346950,16604026,16858333,..
"Population, total",SP.POP.TOTL,Guinea,GIN,6352282,8240735,10652032,10892821,11150970,11432096,11738434,12067516,12414292,12771246,13132792,..
"Population, total",SP.POP.TOTL,Guinea-Bissau,GNB,975265,1201305,1604981,1648259,1692433,1737207,1782434,1828146,1874304,1920917,1967998,..
"Population, total",SP.POP.TOTL,Guyana,GUY,743306,746718,755388,759281,763371,767433,771363,775218,779007,782775,786559,..
