,Country,2012_x,2012_y,2012
294,Honduras,338.3,2129.521439,8640692
296,Hungary,7.908,12989.18028,9920362
297,Hungary,..,12989.18028,9920362
298,Hungary,769.992,12989.18028,9920362
300,Iceland,..,45995.54788,320716
304,India,767.24,1443.882435,1265780243
305,India,5.519,1443.882435,1265780243
306,India,23069.18,1443.882435,1265780243
307,India,..,1443.882435,1265780243
308,Indonesia,3.01,3694.35934,248451714
309,Indonesia,..,3694.35934,248451714
310,Indonesia,4.6,3694.35934,248451714
312,Iraq,..,6836.073995,31890012
316,Ireland,..,49026.02307,4599533
318,Ireland,3942.478,49026.02307,4599533
319,Ireland,68,49026.02307,4599533
320,Israel,402.39,32667.60687,7910500
321,Israel,11.285,32667.60687,7910500
322,Israel,6,32667.60687,7910500
323,Israel,..,32667.60687,7910500
324,Italy,18861.732,35051.52127,59539717
325,Italy,9.475,35051.52127,59539717
326,Italy,13407.127,35051.52127,59539717
327,Italy,..,35051.52127,59539717
328,Jamaica,3,5209.859264,2842128
329,Jamaica,..,5209.859264,2842128
330,Jamaica,107.466,5209.859264,2842128
332,Japan,6613,49145.28043,127629000
333,Japan,..,49145.28043,127629000
334,Japan,4793.725,49145.28043,127629000
335,Japan,44.275,49145.28043,127629000
336,Jordan,..,3910.346894,8089963
338,Jordan,3,3910.346894,8089963
340,Kazakhstan,..,12386.69927,16792090
342,Kazakhstan,3.055,12386.69927,16792090
344,Kenya,0.765,1271.815383,44343469
345,Kenya,..,1271.815383,44343469
346,Kenya,14.56,1271.815383,44343469
348,Kiribati,..,1788.691439,106359
352,Kuwait,0.011,51979.12069,3348852
353,Kuwait,..,51979.12069,3348852
356,Latvia,0.01,13847.33794,2034319
357,Latvia,..,13847.33794,2034319
358,Latvia,114.266,13847.33794,2034319
360,Lebanon,1.25,7952.151266,5537620
361,Lebanon,..,7952.151266,5537620
364,Lesotho,..,1229.636232,2014988
368,Liberia,..,675.0101918,4135662
372,Libya,..,13025.27932,6285751
376,Lithuania,2,14367.70942,2987773
377,Lithuania,..,14367.70942,2987773
378,Lithuania,540,14367.70942,2987773
380,Luxembourg,38.277,112584.6763,530946
381,Luxembourg,..,112584.6763,530946
382,Luxembourg,77.466,112584.6763,530946
384,Madagascar,..,518.1528127,22346641
388,Malawi,..,391.5617052,15396010
392,Malaysia,7.5,10817.43171,29068189
393,Malaysia,..,10817.43171,29068189
396,Maldives,..,7265.723399,397231
400,Mali,..,778.6252695,15979492
404,Malta,16.69,22527.63676,420028
405,Malta,..,22527.63676,420028
406,Malta,0.075,22527.63676,420028
408,Marshall Islands,0.243,3181.6247,56712
409,Marshall Islands,..,3181.6247,56712
412,Mauritania,..,1815.218939,3706555
416,Mauritius,0.901,9291.227619,1255882
417,Mauritius,..,9291.227619,1255882
418,Mauritius,3.568,9291.227619,1255882
420,Mexico,60.278,10241.72783,117274156
421,Mexico,..,10241.72783,117274156
422,Mexico,3688.31,10241.72783,117274156
424,Mongolia,..,4351.888461,2824698
428,Montenegro,1.243,6586.721279,620601
429,Montenegro,..,6586.721279,620601
432,Morocco,0.209,2912.658275,33241898
433,Morocco,39,2912.658275,33241898
434,Morocco,728,2912.658275,33241898
435,Morocco,..,2912.658275,33241898
436,Mozambique,..,657.6446765,24862673
