Country,Technology,Grid connection,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Antigua and Barbuda,Offshore wind energy,On-grid,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Argentina,Solar photovoltaic,On-grid,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.51,8.06,14.96,15.75,14.67,14.40,16.00,108.00,799.69
Argentina,Solar thermal energy,On-grid,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Argentina,Onshore wind energy,On-grid,28.89,49.36,73.41,77.95,72.45,75.38,69.64,61.59,41.95,36.83,25.35,26.23,369.24,461.27,619.04,598.67,554.05,670.27,1413.00,4995.97
Argentina,Offshore wind energy,On-grid,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Armenia,Solar photovoltaic,On-grid,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.15,2.74,19.40,23.60
Armenia,Solar thermal energy,On-grid,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Armenia,Onshore wind energy,On-grid,0.00,0.00,0.00,0.00,0.00,0.00,2.60,2.90,1.90,4.30,7.00,5.60,4.10,3.80,4.00,3.70,1.80,2.10,1.90,3.30
Armenia,Offshore wind energy,On-grid,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Aruba,Solar photovoltaic,On-grid,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.35,1.14,2.28,5.71,9.66,10.71,10.71,10.71,10.71
Aruba,Solar thermal energy,On-grid,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Aruba,Onshore wind energy,On-grid,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.64,106.16,112.24,134.20,148.99,155.61,166.42,134.18,133.05,136.39,136.39
Aruba,Offshore wind energy,On-grid,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Australia,Solar photovoltaic,On-grid,38.00,44.00,50.00,58.00,68.00,78.00,90.00,105.00,123.00,156.00,386.00,1388.00,2322.00,3472.00,4007.00,5019.00,6205.00,8069.00,9926.00,14845.00
Australia,Solar thermal energy,On-grid,0.00,0.00,0.00,1.00,1.00,1.00,1.00,4.00,4.00,4.00,3.00,3.00,3.00,3.00,3.00,4.00,4.00,2.00,3.00,3.00
Australia,Onshore wind energy,On-grid,58.00,210.00,364.00,703.00,705.00,885.00,1713.00,2611.00,3093.00,3824.00,5052.00,6085.00,6970.00,7960.00,10252.00,11467.00,12199.00,12597.00,15164.00,17712.00
Australia,Offshore wind energy,On-grid,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Austria,Solar photovoltaic,On-grid,3.23,5.34,9.03,14.69,18.43,18.49,19.61,21.42,27.00,45.56,85.27,169.88,333.09,620.78,779.76,931.56,1089.53,1262.01,1447.94,1694.40
Austria,Solar thermal energy,On-grid,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Austria,Onshore wind energy,On-grid,66.75,104.65,139.82,372.28,933.63,1331.28,1752.79,2037.19,2011.26,1954.04,2063.91,1936.20,2462.86,3152.43,3845.68,4840.32,5234.84,6571.51,6030.43,7477.36
Austria,Offshore wind energy,On-grid,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Azerbaijan,Solar photovoltaic,On-grid,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.13,0.13,0.39,0.20,0.20,0.80,2.91,4.57,35.25,37.20,39.30,44.20
Azerbaijan,Solar thermal energy,On-grid,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Azerbaijan,Onshore wind energy,On-grid,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.10,0.50,0.00,0.00,0.80,2.34,4.60,22.76,22.10,82.70,105.40
Azerbaijan,Offshore wind energy,On-grid,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Bahamas,Solar photovoltaic,On-grid,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.15,0.31,0.46,0.62,0.93,0.93,1.77,1.77,1.85,1.93,1.93,2.64
Bahamas,Solar thermal energy,On-grid,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Bahamas,Onshore wind energy,On-grid,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Bahamas,Offshore wind energy,On-grid,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Bahrain,Solar photovoltaic,On-grid,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.83,0.83,8.25,8.25,8.25,8.25,8.25,8.25
Bahrain,Solar thermal energy,On-grid,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Bahrain,Onshore wind energy,On-grid,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20
Bahrain,Offshore wind energy,On-grid,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Bangladesh,Solar photovoltaic,On-grid,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,6.33,19.69,29.62,62.14,101.73
Bangladesh,Solar thermal energy,On-grid,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Bangladesh,Onshore wind energy,On-grid,0.00,0.00,0.00,0.00,0.00,0.00,1.58,1.58,1.58,1.58,1.58,1.58,1.58,1.58,1.58,1.58,1.58,1.58,1.58,1.58
