,population,GDP_Per_Capita,Solar_Generation_Cost_USD_MW,Mid_Bat_Cost_USD_MW
187,7265115,7681.93462,314.5,610
188,17072791,787.4694383,314.5,610
189,9540302,256.9756526,314.5,610
190,511740,3616.03557,314.5,610
191,15026330,1013.420536,314.5,610
192,22077300,1527.751257,314.5,610
193,35082954,52635.17496,314.5,610
194,13220433,979.8117426,314.5,610
195,17571511,15842.93648,314.5,610
196,1363240000,7020.338485,314.5,610
197,46495492,8218.347844,314.5,610
199,4742111,10744.09102,314.5,610
200,4255689,13837.73164,314.5,610
201,11282722,6837.71168,314.5,610
202,153822,20462.71795,314.5,610
203,1143866,27729.1927,314.5,610
204,5614932,61191.1937,314.5,610
205,883296,2312.720948,314.5,610
206,71019,7016.380071,314.5,610
207,15707473,6056.331213,314.5,610
208,6266076,3509.526536,314.5,610
210,1317997,19056.00192,314.5,610
211,1086843,4230.171266,314.5,610
212,95385793,499.5315302,314.5,610
213,47901,54843.31929,314.5,610
214,865602,4840.72727,314.5,610
215,5438972,49892.22336,314.5,610
216,65998685,42605.04438,314.5,610
217,1817070,9683.58162,314.5,610
218,3717668,4623.745725,314.5,610
219,80645605,46298.92292,314.5,610
220,26607641,2361.090324,314.5,610
222,10965211,21787.78776,314.5,610
223,56483,47535.58995,314.5,610
224,108172,7789.632355,314.5,610
225,160415,33656.45357,314.5,610
226,15043981,3522.773706,314.5,610
227,10892821,769.0031667,314.5,610
228,759281,5489.140726,314.5,610
229,10400672,1432.837618,314.5,610
230,8798524,2088.097206,314.5,610
231,9893082,13719.95054,314.5,610
232,323764,49804.983,314.5,610
233,1280842119,1449.610451,314.5,610
234,251805314,3623.927241,314.5,610
235,33157061,7076.552265,314.5,610
236,4623816,51533.03457,314.5,610
237,8059500,36499.45611,314.5,610
238,60233948,35560.08141,314.5,610
239,2858710,4989.734089,314.5,610
240,127445000,40898.6479,314.5,610
241,8518992,4044.426869,314.5,610
242,17035551,13890.63096,314.5,610
243,45519986,1354.820833,314.5,610
244,107887,1715.814321,314.5,610
245,3526382,49388.05338,314.5,610
246,6541302,1831.936916,314.5,610
247,2012647,15007.49186,314.5,610
248,5913016,7933.23332,314.5,610
249,2028528,1166.911756,314.5,610
250,4248337,747.8686601,314.5,610
251,6320350,10363.80425,314.5,610
253,2957689,15729.65247,314.5,610
254,543360,120000.1407,314.5,610
255,22961259,541.0659437,314.5,610
256,15839287,348.4298737,314.5,610
257,29468923,10970.1043,314.5,610
258,415592,7928.476443,314.5,610
259,16449854,805.0339796,314.5,610
260,425967,24771.07658,314.5,610
261,3817497,1892.094,314.5,610
262,1258653,9637.00265,314.5,610
263,118827158,10725.18359,314.5,610
265,2881783,4366.089537,314.5,610
266,621207,7186.429787,314.5,610
267,33715705,3121.680081,314.5,610
268,25560752,664.0775104,314.5,610
269,51852464,1168.1654,314.5,610
270,2233506,5392.094938,314.5,610
271,10208,9648.495655,314.5,610
272,26916795,823.3598746,314.5,610
273,16804432,52198.89756,314.5,610
274,4442100,42976.64959,314.5,610
275,6062462,1811.636803,314.5,610
276,18504287,552.569139,314.5,610
277,171765819,2961.549422,314.5,610
278,2064032,5241.058345,314.5,610
279,5079623,102913.4508,314.5,610
280,3764805,23888.62658,314.5,610
281,191260799,1208.91771,314.5,610
282,17603,12561.33614,314.5,610
283,3835447,11889.09507,314.5,610
284,6510273,5936.975959,314.5,610
285,29773986,6756.752996,314.5,610
286,98871558,2871.429701,314.5,610
287,38040196,13696.4663,314.5,610
288,10457295,21653.19598,314.5,610
289,3593077,28513.16574,314.5,610
290,2336579,85050.68434,314.5,610
291,19983693,9547.852151,314.5,610
292,10811538,722.8943285,314.5,610
293,190712,4037.813829,314.5,610
295,30052058,24845.12466,314.5,610
296,13782429,1372.665779,314.5,610
297,7164132,6755.073675,314.5,610
298,89949,14765.67398,314.5,610
299,6863975,716.8358269,314.5,610
300,5399162,56967.42579,314.5,610
301,2059953,23503.28249,314.5,610
302,13063711,350.1681618,314.5,610
303,53687125,7467.079185,314.5,610
304,10355030,1779.470365,314.5,610
305,46620045,29067.80946,314.5,610
306,20585000,3610.289363,314.5,610
307,37072555,1160.535552,314.5,610
308,547295,9402.164419,314.5,610
309,9600379,61126.9432,314.5,610
310,8089346,88109.48675,314.5,610
312,48483132,970.3996014,314.5,610
313,68144519,6168.261356,314.5,610
314,6954721,621.3988536,314.5,610
315,101768,4428.146521,314.5,610
316,10952949,4444.816511,314.5,610
317,75925454,12614.78161,314.5,610
319,10849,3457.376266,314.5,610
320,35694519,810.090395,314.5,610
321,45489648,4187.739845,314.5,610
322,3389436,16973.68924,314.5,610
323,30243200,2419.718703,314.5,610
324,256637,2954.774511,314.5,610
325,14926551,1878.346811,314.5,610
326,13350378,1429.998461,314.5,610
327,7175500378,10792.72853,314.5,610
328,33370804,614.2233424,293.3,580
329,2889104,4578.633208,293.3,580
330,38923688,5493.056695,293.3,580
331,79213,41303.92937,293.3,580
332,26941773,5408.4117,293.3,580
333,42669500,12334.79825,293.3,580
334,2912403,3986.231624,293.3,580
335,103776,26893.01151,293.3,580
336,23475686,62511.69059,293.3,580
337,8546356,51786.37717,293.3,580
338,9535079,7891.313147,293.3,580
339,1336073,24989.43753,293.3,580
340,154517385,1118.873808,293.3,580
341,284825,16489.07224,293.3,580
342,9448515,8341.399679,293.3,580
343,11209057,47764.07151,293.3,580
344,353366,4718.436581,293.3,580
345,10286839,1291.410185,293.3,580
347,719053,2652.225654,293.3,580
348,10706517,3081.878823,293.3,580
349,2088619,7495.220866,293.3,580
350,202763744,12112.83496,293.3,580
351,7223938,7901.785876,293.3,580
352,17586029,792.8462374,293.3,580
353,9844301,274.8578362,293.3,580
354,518276,3588.625584,293.3,580
355,15274506,1093.495976,293.3,580
356,22681853,1604.214035,293.3,580
357,35437435,50955.99832,293.3,580
358,13663562,1020.287979,293.3,580
359,17758969,14670.98891,293.3,580
360,1371860000,7636.116601,293.3,580
361,46967706,8114.343921,293.3,580
363,4795390,10847.16967,293.3,580
364,4238389,13762.37286,293.3,580
365,11306909,7133.337679,293.3,580
366,155909,20258.00969,293.3,580
367,1152297,27163.33297,293.3,580
368,5643475,62548.98473,293.3,580
369,898707,2464.294905,293.3,580
370,71091,7317.486143,293.3,580
371,15951832,6377.093929,293.3,580
372,6295124,3589.042885,293.3,580
374,1314545,20261.06673,293.3,580
375,1095022,4039.159341,293.3,580
376,98094264,566.9264029,293.3,580
377,47965,59433.83457,293.3,580
378,866447,5605.609148,293.3,580
379,5461512,50327.24029,293.3,580
380,66312067,43068.54872,293.3,580
381,1883801,9663.42411,293.3,580
382,3719414,4739.188338,293.3,580
383,80982500,48023.86998,293.3,580
384,27224480,2012.264247,293.3,580
386,10892413,21616.71001,293.3,580
387,56295,50484.92757,293.3,580
388,108900,8370.040472,293.3,580
389,161007,34843.20557,293.3,580
390,15306316,3779.642336,293.3,580
391,11150970,787.2385644,293.3,580
392,763371,5407.147366,293.3,580
393,10549007,1435.13647,293.3,580
394,8955579,2190.653139,293.3,580
395,9866468,14298.83367,293.3,580
