,Country,2012_x,2012_y,2012
155,Syrian Arab Republic,..,2094.408097,20438861
156,Tajikistan,..,969.2961039,7874838
157,Thailand,493,5860.581471,67835969
158,Timor-Leste,..,1024.172508,1133002
159,Togo,0.011,571.8067239,6773807
160,Tonga,1,4581.783245,102736
161,Trinidad and Tobago,4.408,19157.45977,1344814
162,Tunisia,5.814,4361.687736,10846993
163,Turkey,17.375,11795.63346,74651046
164,Turkmenistan,..,6675.178055,5267906
165,Turks and Caicos Islands,..,21345.02598,34067
166,Tuvalu,0.055,3506.308144,10744
167,Uganda,..,790.1314506,34558700
168,Ukraine,333.3,4004.804396,45593342
169,United Arab Emirates,18.6,40976.49075,9141598
170,Uruguay,0.085,15171.58017,3378975
171,Uzbekistan,..,2267.623275,29774500
172,Vanuatu,0.137,2997.293432,249505
173,Zambia,..,1763.069442,14465148
174,Zimbabwe,..,1304.968011,13115149
